Area name,Area code,Area type,Daily lab-confirmed cases,Cumulative lab-confirmed cases,Cumulative lab-confirmed cases rate,Date
England,E92000001,nation,588,934099,1659.5,11/3/2020
England,E92000001,nation,18826,933511,1658.5,2020-11-02
England,E92000001,nation,12457,914685,1625,2020-11-01
England,E92000001,nation,13649,902228,1602.9,2020-10-31
England,E92000001,nation,19380,888579,1578.7,2020-10-30
England,E92000001,nation,19809,869199,1544.2,2020-10-29
England,E92000001,nation,20189,849390,1509,2020-10-28
England,E92000001,nation,20443,829201,1473.2,2020-10-27
England,E92000001,nation,22706,808758,1436.8,2020-10-26
England,E92000001,nation,13097,786052,1396.5,2020-10-25
England,E92000001,nation,13513,772955,1373.2,2020-10-24
England,E92000001,nation,18085,759442,1349.2,2020-10-23
England,E92000001,nation,19582,741357,1317.1,2020-10-22
England,E92000001,nation,21469,721775,1282.3,2020-10-21
England,E92000001,nation,21309,700306,1244.2,2020-10-20
England,E92000001,nation,22076,678997,1206.3,2020-10-19
England,E92000001,nation,11847,656921,1167.1,2020-10-18
England,E92000001,nation,12350,645074,1146,2020-10-17
England,E92000001,nation,14519,632724,1124.1,2020-10-16
England,E92000001,nation,15234,618205,1098.3,2020-10-15
England,E92000001,nation,16431,602971,1071.2,2020-10-14
England,E92000001,nation,15425,586540,1042.1,2020-10-13
England,E92000001,nation,16180,571115,1014.6,2020-10-12
England,E92000001,nation,9642,554935,985.9,2020-10-11
England,E92000001,nation,10149,545293,968.8,2020-10-10
England,E92000001,nation,12991,535144,950.7,2020-10-09
England,E92000001,nation,15250,522153,927.7,2020-10-08
England,E92000001,nation,15183,506903,900.6,2020-10-07
England,E92000001,nation,14281,491720,873.6,2020-10-06
England,E92000001,nation,14031,477439,848.2,2020-10-05
England,E92000001,nation,9805,463408,823.3,2020-10-04
England,E92000001,nation,9699,453603,805.9,2020-10-03
England,E92000001,nation,11559,443904,788.6,2020-10-02
England,E92000001,nation,11289,432345,768.1,2020-10-01
England,E92000001,nation,10512,421056,748.1,2020-09-30
England,E92000001,nation,8720,410544,729.4,2020-09-29
England,E92000001,nation,8572,401824,713.9,2020-09-28
England,E92000001,nation,6026,393252,698.7,2020-09-27
England,E92000001,nation,5645,387226,687.9,2020-09-26
England,E92000001,nation,6042,381581,677.9,2020-09-25
England,E92000001,nation,6296,375539,667.2,2020-09-24
England,E92000001,nation,5888,369243,656,2020-09-23
England,E92000001,nation,5371,363355,645.5,2020-09-22
England,E92000001,nation,4700,357984,636,2020-09-21
England,E92000001,nation,4621,353284,627.6,2020-09-20
England,E92000001,nation,4185,348663,619.4,2020-09-19
England,E92000001,nation,4277,344478,612,2020-09-18
England,E92000001,nation,3938,340201,604.4,2020-09-17
England,E92000001,nation,3748,336263,597.4,2020-09-16
England,E92000001,nation,3046,332515,590.7,2020-09-15
England,E92000001,nation,2897,329469,585.3,2020-09-14
England,E92000001,nation,1710,326572,580.2,2020-09-13
England,E92000001,nation,2212,324862,577.2,2020-09-12
England,E92000001,nation,2857,322650,573.2,2020-09-11
England,E92000001,nation,3101,319793,568.1,2020-09-10
England,E92000001,nation,2851,316692,562.6,2020-09-09
England,E92000001,nation,3001,313841,557.6,2020-09-08
England,E92000001,nation,3465,310840,552.2,2020-09-07
England,E92000001,nation,2056,307375,546.1,2020-09-06
England,E92000001,nation,2190,305319,542.4,2020-09-05
England,E92000001,nation,2587,303129,538.5,2020-09-04
England,E92000001,nation,2666,300542,533.9,2020-09-03
England,E92000001,nation,2617,297876,529.2,2020-09-02
England,E92000001,nation,1929,295259,524.6,2020-09-01
England,E92000001,nation,1259,293330,521.1,2020-08-31
England,E92000001,nation,980,292071,518.9,2020-08-30
England,E92000001,nation,1047,291091,517.2,2020-08-29
England,E92000001,nation,1387,290044,515.3,2020-08-28
England,E92000001,nation,1337,288657,512.8,2020-08-27
England,E92000001,nation,1141,287320,510.5,2020-08-26
England,E92000001,nation,1059,286179,508.4,2020-08-25
England,E92000001,nation,1082,285120,506.5,2020-08-24
England,E92000001,nation,694,284038,504.6,2020-08-23
England,E92000001,nation,715,283344,503.4,2020-08-22
England,E92000001,nation,1004,282629,502.1,2020-08-21
England,E92000001,nation,1221,281625,500.3,2020-08-20
England,E92000001,nation,1071,280404,498.2,2020-08-19
England,E92000001,nation,924,279333,496.3,2020-08-18
England,E92000001,nation,1137,278409,494.6,2020-08-17
England,E92000001,nation,527,277272,492.6,2020-08-16
England,E92000001,nation,644,276745,491.7,2020-08-15
England,E92000001,nation,1043,276101,490.5,2020-08-14
England,E92000001,nation,1020,275058,488.7,2020-08-13
England,E92000001,nation,1093,274038,486.9,2020-08-12
England,E92000001,nation,1213,272945,484.9,2020-08-11
England,E92000001,nation,1350,271732,482.8,2020-08-10
England,E92000001,nation,557,270382,480.4,2020-08-09
England,E92000001,nation,636,269825,479.4,2020-08-08
England,E92000001,nation,864,269189,478.2,2020-08-07
England,E92000001,nation,978,268325,476.7,2020-08-06
England,E92000001,nation,941,267347,475,2020-08-05
England,E92000001,nation,920,266406,473.3,2020-08-04
England,E92000001,nation,940,265486,471.7,2020-08-03
England,E92000001,nation,512,264546,470,2020-08-02
England,E92000001,nation,493,264034,469.1,2020-08-01
England,E92000001,nation,625,263541,468.2,2020-07-31
England,E92000001,nation,855,262916,467.1,2020-07-30
England,E92000001,nation,973,262061,465.6,2020-07-29
England,E92000001,nation,781,261088,463.9,2020-07-28
England,E92000001,nation,809,260307,462.5,2020-07-27
England,E92000001,nation,515,259498,461,2020-07-26
England,E92000001,nation,492,258983,460.1,2020-07-25
England,E92000001,nation,712,258491,459.2,2020-07-24
England,E92000001,nation,733,257779,458,2020-07-23
England,E92000001,nation,750,257046,456.7,2020-07-22
England,E92000001,nation,691,256296,455.3,2020-07-21
England,E92000001,nation,753,255605,454.1,2020-07-20
England,E92000001,nation,414,254852,452.8,2020-07-19
England,E92000001,nation,466,254438,452,2020-07-18
England,E92000001,nation,546,253972,451.2,2020-07-17
England,E92000001,nation,639,253426,450.2,2020-07-16
England,E92000001,nation,724,252787,449.1,2020-07-15
England,E92000001,nation,649,252063,447.8,2020-07-14
England,E92000001,nation,689,251414,446.7,2020-07-13
England,E92000001,nation,351,250725,445.4,2020-07-12
England,E92000001,nation,422,250374,444.8,2020-07-11
England,E92000001,nation,520,249952,444.1,2020-07-10
England,E92000001,nation,680,249432,443.1,2020-07-09
England,E92000001,nation,672,248752,441.9,2020-07-08
England,E92000001,nation,559,248080,440.7,2020-07-07
England,E92000001,nation,655,247521,439.7,2020-07-06
