Date,Policy,Introduced by,Category,Deemed_sig_by_tracker
1/10/2020,Guidance published for health care providers outlining infection prevention and control measures to be taken in response to COVID-19,,Infection prevention and control,1
1/10/2020,Guidance published for clinicians on the investigation and initial clinical management of possible cases of COVID-19 infection,,Health and social care settings,1
1/10/2020,Public Health England offers advice for travellers to Wuhan ,,Travel measures,0
1/16/2020,An interim recommendation is made to classify COVID-19 as a high consequence infectious disease (HCID) in the UK,,Other,0
1/21/2020,"Guidance published for primary care professionals outlining actions to be taken around dealing with potential COVID-19 patients in primary care settings, when transferring them to other settings, and environmental cleaning [now withdrawn]",,Health and social care settings,0
1/22/2020,Department of Health and Social Care and Public Health England release statement on enhanced monitoring of passengers travelling from Wuhan ,,"Testing, surveillance and contact tracing",1
1/28/2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China ,,Travel measures,1
1/30/2020,"UK Chief Medical Officers raise risk of COVID-19 to the public from low to moderate, permitting the government to escalate planning ",,Other,1
2/1/2020,Guidance published for professionals on advising the general public [now withdrawn],,Informing the public,0
2/2/2020,COVID-19 public information campaign launched,,Informing the public,1
2/3/2020,Guidance published for healthcare providers on dealing with healthcare workers who have been put at risk of contracting COVID-19 [now withdrawn] ,,Health and social care settings,0
2/4/2020,Foreign and Commonwealth Office travel advice is updated to recommend that British nationals leave China,,Travel measures,1
2/7/2020,"Foreign and Commonwealth Office travel advice is updated for people returning from Hubei Province and new advice issued for people returning from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia or Macau",,Travel measures,1
2/7/2020,COVID-19 diagnostic testing is rolled out to 12 labs across the UK,,"Testing, surveillance and contact tracing",1
2/10/2020,Government introduces legal powers to impose restrictions on individuals at risk of spreading COVID-19 [now revoked],,Legal change,1
2/17/2020,Guidance published for education providers on how to address COVID-19 in educational settings,,Non-health and social care settings,0
2/25/2020,"Guidance published for social, community care and residential care providers to address COVID-19 in their care settings [now withdrawn]",,Health and social care settings,0
2/25/2020,Guidance published to address COVID-19 in the workplace,,Non-health and social care settings,0
2/26/2020,Public Health England and the NHS establish a new surveillance system to detect cases of COVID-19,,"Testing, surveillance and contact tracing",1
2/26/2020,Guidance published on the cleaning of non-healthcare settings,,Non-health and social care settings,0
2/28/2020,"NHS rolls out services on NHS sites to test people for COVID-19, including offering ‘drive through’ testing ",,"Testing, surveillance and contact tracing",1
3/4/2020,Expanded public information campaign is announced focusing on handwashing for 20 seconds,,Informing the public,1
3/5/2020,COVID-19 is listed as a notifiable disease in law ,,Legal change,1
3/9/2020,Government launches a new taskforce to provide support and advice to Local Resilience Forums ,,Other,0
3/10/2020,Updated guidance published for travellers returning from specified countries and areas [now withdrawn] ,,Travel measures,0
3/11/2020,£10m of new funding is announced to increase the capacity and capability of diagnostic testing and surveillance,,"Testing, surveillance and contact tracing",1
3/12/2020,People aged 70+ and those with pre-existing health conditions are advised against cruise ship travel ,,Travel measures,0
3/12/2020,Government move from the 'contain' to the 'delay' phase of its response to COVID-19. People with symptoms are told to stay at home for 7 days and that they do not need to be tested ,,Social distancing measures,1
3/13/2020,Guidance published for reducing risk of transmission of COVID-19 in residential care provision [now withdrawn and not available],,Health and social care settings,0
3/13/2020,Guidance published for supported living provision to support planning and preparation in the event of an outbreak or widespread transmission of COVID-19,,Health and social care settings,0
3/13/2020,Guidance published for home care provision to support planning and preparation in the event of an outbreak or widespread transmission of COVID-19,,Health and social care settings,0
3/16/2020,Guidance published for reducing risk of transmission of COVID-19 in prisons and other places of detention ,,Non-health and social care settings,1
3/16/2020,"Government announces new social distancing measures, including for anyone in a household with symptoms of COVID-19 to stay home for 14 days ",,Social distancing measures,1
3/16/2020,Guidance published on new social distancing measures and vulnerable people advised to be particularly stringent in following measures [now withdrawn],,Social distancing measures,1
3/16/2020,"Government advises that that mass gatherings should not take place, in line with new social distancing measures ",,Social distancing measures,1
3/16/2020,Guidance published for shipping and sea ports ,,Non-health and social care settings,0
3/17/2020,Next stage of public information campaign announced focusing on new guidance for households with possible COVID-19 infection,,Informing the public,0
3/17/2020,"Government commits to increasing testing for COVID-19 to 25,000 hospital patients a day and calls on industry to develop an antibody test",,"Testing, surveillance and contact tracing",1
3/17/2020,Guidance published for Councils covering a range of measures to address COVID-19 ,,Non-health and social care settings,0
3/17/2020,Foreign and Commonwealth Office travel advice is updated to advise against all non-essential world-wide travel ,,Travel measures,1
