,Date,Daily lab-confirmed cases,Cumulative lab-confirmed cases,Cumulative lab-confirmed cases rate,Daily_lab_confirmed_case_rate,7_day_rolling_ave,pctchange_in_case_rate,Date_in_2weeks,7_day_rolling_ave_in_2weeks,pct_change_between_now_and_two_weeks,Date_1,Policy,Category,Deemed_sig_by_tracker
0,2020-05-13,2880,187999,334.0,5.100000000000023,4.5,0.01809954751131393,2020-05-27,2.4799999999999955,-44.88888888888899,2020-05-13,Closing certain businesses and venues guidance is updated to reflect new regulations ,Social distancing measures,0.0
1,2020-05-13,2880,187999,334.0,5.100000000000023,4.5,0.01809954751131393,2020-05-27,2.4799999999999955,-44.88888888888899,2020-05-13,New guidance on spending time outdoors - Coronavirus (COVID-19): safer public places - urban centres and green spaces,Social distancing measures,0.0
2,2020-05-13,2880,187999,334.0,5.100000000000023,4.5,0.01809954751131393,2020-05-27,2.4799999999999955,-44.88888888888899,2020-05-13,"Guidance is published on the phased return of sport and recreation. Outdoor sports courts and other outdoor sporting activities are permitted to reopen if they can do so safely, following public health guidance",Social distancing measures,0.0
3,2020-05-13,2880,187999,334.0,5.100000000000023,4.5,0.01809954751131393,2020-05-27,2.4799999999999955,-44.88888888888899,2020-05-13,"A guide to COVID-19 tests and testing kits is published for patients, the public and professional users","Testing, surveillance and contact tracing",1.0
4,2020-05-14,2214,190213,337.9,3.8999999999999773,4.639999999999998,0.031111111111110645,2020-05-28,2.5600000000000023,-44.82758620689648,2020-05-14,"Guidance on critical workers updated to reflect that children of critical workers are encouraged to attend school, and to reflect plans for wider opening of schools from 1 June, at the earliest. ",Social distancing measures,0.0
5,2020-05-14,2214,190213,337.9,3.8999999999999773,4.639999999999998,0.031111111111110645,2020-05-28,2.5600000000000023,-44.82758620689648,2020-05-14,A Charter is produced by government and the Home Building Federation committing signatories to safe working whilst COVID-19 remains prevalent,Non-health and social care settings,0.0
6,2020-05-14,2214,190213,337.9,3.8999999999999773,4.639999999999998,0.031111111111110645,2020-05-28,2.5600000000000023,-44.82758620689648,2020-05-14,A planning guide is published for primary school leaders to help prepare them to open their schools for more pupils during the COVID-19 outbreak,Non-health and social care settings,0.0
7,2020-05-14,2214,190213,337.9,3.8999999999999773,4.639999999999998,0.031111111111110645,2020-05-28,2.5600000000000023,-44.82758620689648,2020-05-14,"Guidance is published on preventing and controlling infection, including the use of PPE, in education, childcare and children’s social care settings ",Infection prevention and control,1.0
8,2020-05-15,2131,192344,341.7,3.8000000000000114,4.7,0.012931034482759118,2020-05-29,2.619999999999993,-44.25531914893632,2020-05-15,Government announces that more than 70 million face masks will be manufactured in the UK and delivered to frontline health and care workers following an agreement with a global technology company,Infection prevention and control,0.0
9,2020-05-15,2131,192344,341.7,3.8000000000000114,4.7,0.012931034482759118,2020-05-29,2.619999999999993,-44.25531914893632,2020-05-15,"Government announces a care home support package, funded by a £600m adult social care infection control fund ",Infection prevention and control,1.0
10,2020-05-15,2131,192344,341.7,3.8000000000000114,4.7,0.012931034482759118,2020-05-29,2.619999999999993,-44.25531914893632,2020-05-15,Government announce new taskforce to develop plan to enable phased and safe reopening of places of worship,Social distancing measures,0.0
11,2020-05-15,2131,192344,341.7,3.8000000000000114,4.7,0.012931034482759118,2020-05-29,2.619999999999993,-44.25531914893632,2020-05-15,The Government Office for Science starts to publish the latest R number range for the UK  ,Informing the public,0.0
12,2020-05-16,1773,194117,344.9,3.1999999999999886,4.2399999999999975,-0.0978723404255325,2020-05-30,2.5,-41.037735849056574,,,,
13,2020-05-17,1589,195706,347.7,2.8000000000000114,3.7600000000000025,-0.11320754716981019,2020-05-31,2.319999999999993,-38.297872340425755,2020-05-17,Government begin large scale study of coronavirus immunity as part of Pillar 4 of the COVID-19 testing strategy ,"Testing, surveillance and contact tracing",0.0
